Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
1.21E+14,Bharatiya Janata Party (BJP),Bharatiya Janata Party (BJP),193854342,43455
3.52E+14,Indian National Congress,Indian National Congress,108787100,846
1.33E+14,Ama Chinha Sankha Chinha,Ama Chinha Sankha Chinha,73361399,1799
1.93E+14,Ama Chinha Sankha Chinha,Ama Chinha Sankha Chinha,32294327,680
1.09E+14,Ellorum Nammudan,Populus Empowerment Network Private Limited,22399499,879
1.40E+15,BJP Odisha,BJP Odisha,19573782,2152
1.10E+14,Crafto,Kutumb App,16954562,272
5.74E+14,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,16358104,1928
2.19E+14,All India Trinamool Congress,All India Trinamool Congress,15151000,336
7.76E+14,MyGovIndia,MyGovIndia,14202725,67
1.10E+14,discovery+,discovery+,13408908,279
1.99E+15,Mahathugbandhan - ?????????,Mahathugbandhan - ?????????,12793073,832
1.93E+14,MemeXpress,Memes Xpress,11099867,291
1.07E+14,?? ????,manamodi.com,10814825,2554
2.06E+14,Political X-Ray,Political X Ray,9327292,426
1.07E+14,Way2News ?????,way2news,8834392,181
1.02E+14,Modi Sang Bihar - ???? ??? ?????,Modi Sang Bihar - ???? ??? ?????,8648574,1525
1.06E+14,Meta,Meta India with Facebook Ad Credits,8509170,73
1.14E+14,Mudde ki Baat - ?????? ?? ???,Mudde Ki Baat,8448419,302
2.88E+14,Meme Hub,Memes Xpress,7926104,256
1.92E+14,Telugu Desam Party (TDP),Telugu Desam Party (TDP),7565986,322
2.48E+14,Amaar Sonar Bangla - ???? ????? ?????,Ulta Chashmaa,7496469,170
1.56E+15,BJP Andhra Pradesh,BJP Andhra Pradesh,7406091,813
1.17E+14,Kharge Fan Club,Kharge Fan Club,6982444,793
1.80E+14,Tamilakam - ???????,Tamilakam - ???????,6944096,463
1.93E+14,Ama Chinha Sankha Chinha,Ama Odisha Nabin Odisha,6757215,154
1.80E+14,??????? ?????? / Ketedina Sahibaa?,??????? ?????? / Ketedina Sahibaa?,5916621,1525
1.38E+14,Stalinin Kural,Populus Empowerment Network Private Limited,5593308,166
1.50E+14,BJP West Bengal,Bharatiya Janata Party (BJP),5346709,2130
